ID,Timezone,Name
158802279426686976,America/Los_Angeles,Church
691469948387721299,US/Eastern,Secured
788616594347261992,Canada/Eastern,Salvatore
484859182223196180,America/Argentina/Buenos_Aires,Jaedo
503296245872328705,Etc/GMT+2,falcon
623207936885260319,Etc/GMT+2,Aggouris
530447806985404426,Europe/London,rikzy
510518658712207380,Europe/Berlin,Darth Sk8d3r
700708011903156374,Europe/Vilnius,dangeroushyper
774660056598708254,Asia/Yerevan,cjj100
767241219708420098,Asia/Calcutta,Ace
918402817931247646,Asia/Calcutta,jasdeep
678130547553206283,Asia/Manila,anoonymoose_
560019498233626635,Australia/Queensland,ArthurVice
438587653626265611,Australia/Melbourne,streetw1s3